candidate_id,project_category,image_group_id,split,split_rank_within_category,repository_relative_path,sha256,split_seed,split_score,source_dataset_slug,source_dataset_root,source_split_ignored,test_locked,split_policy
kaggle_afd95f276af3bb7d,alternator,kaggle50:alternator:kaggle_afd95f276af3bb7d,test,1,data/locked_test/dataset_v3/images/alternator/alternator_test_001_afd95f276af3bb7d.jpg,afd95f276af3bb7d25a85ab18cd7bfae3288a8a505200ec42b4782f9987de303,dataset-v3-split-v1,df56890adc871170eaad899f7c73ba3de9aa4b7bae4afe606d1f625d656093c4,gpiosenka/car-parts-40-classes,car parts 50,train,True,deterministic_group_aware_60_10_10_original_source_split_ignored
kaggle_53dafd46cb928e3a,alternator,kaggle50:alternator:kaggle_53dafd46cb928e3a,test,2,data/locked_test/dataset_v3/images/alternator/alternator_test_002_53dafd46cb928e3a.jpg,53dafd46cb928e3add69532e89f1183665dccbc8092f316dc993ccd8a9abdf66,dataset-v3-split-v1,e218b10161c5194e27e15bc402ce8d96ece731157347371e32cc9884208fde97,gpiosenka/car-parts-40-classes,car parts 50,train,True,deterministic_group_aware_60_10_10_original_source_split_ignored
kaggle_2794aaabc40321aa,alternator,kaggle50:alternator:kaggle_2794aaabc40321aa,test,3,data/locked_test/dataset_v3/images/alternator/alternator_test_003_2794aaabc40321aa.jpg,2794aaabc40321aafecb002205b212d565a734d74405a7d663376e05943e3c82,dataset-v3-split-v1,e27940ad69d1c0f9c692bd4592e283c26c4310aa4536bdb54f69557abf8ee726,gpiosenka/car-parts-40-classes,car parts 50,train,True,deterministic_group_aware_60_10_10_original_source_split_ignored
kaggle_bfb098683a94f653,alternator,kaggle50:alternator:kaggle_bfb098683a94f653,test,4,data/locked_test/dataset_v3/images/alternator/alternator_test_004_bfb098683a94f653.jpg,bfb098683a94f653d1fb462b933466490c1ec99a65cc84deb886b7ec7f211b05,dataset-v3-split-v1,f03939c97e8b9e9a7e7e98213c230b73875152fabab07dd2be04b060872e0281,gpiosenka/car-parts-40-classes,car parts 50,train,True,deterministic_group_aware_60_10_10_original_source_split_ignored
kaggle_a1101f0bfd35376b,alternator,kaggle50:alternator:kaggle_a1101f0bfd35376b,test,5,data/locked_test/dataset_v3/images/alternator/alternator_test_005_a1101f0bfd35376b.jpg,a1101f0bfd35376b1cb86928c1dda5c231275dff329f9f55edd790f7a1cfb5dd,dataset-v3-split-v1,f22025e3d7cd84a6ac24ed904b8296f7a09750f728cb5c3ced180220f92edcb3,gpiosenka/car-parts-40-classes,car parts 50,train,True,deterministic_group_aware_60_10_10_original_source_split_ignored
kaggle_e88614c7a7c36a07,alternator,kaggle50:alternator:kaggle_e88614c7a7c36a07,test,6,data/locked_test/dataset_v3/images/alternator/alternator_test_006_e88614c7a7c36a07.jpg,e88614c7a7c36a0745a1811028643b5faf534a4e02d57f82199e5f0c99e497af,dataset-v3-split-v1,f4964cd55c9d4358b0d2ea114cbabcbffea96b50ec82acd7cf4a8e9c9b02e0be,gpiosenka/car-parts-40-classes,car parts 50,train,True,deterministic_group_aware_60_10_10_original_source_split_ignored
kaggle_87d2d0ea0064d8c1,alternator,kaggle50:alternator:kaggle_87d2d0ea0064d8c1,test,7,data/locked_test/dataset_v3/images/alternator/alternator_test_007_87d2d0ea0064d8c1.jpg,87d2d0ea0064d8c1963f7f6f6237ff6f0bee52313ca6de9725ebf27ea4ba25d0,dataset-v3-split-v1,fb7392ef0ce8ac04e5e9580c40c1d7709d708f97845dd2aaca2a0c94a6ddeed7,gpiosenka/car-parts-40-classes,car parts 50,train,True,deterministic_group_aware_60_10_10_original_source_split_ignored
kaggle_6bde879f2a21b42a,alternator,kaggle50:alternator:kaggle_6bde879f2a21b42a,test,8,data/locked_test/dataset_v3/images/alternator/alternator_test_008_6bde879f2a21b42a.jpg,6bde879f2a21b42ac3e06d075c00b52544cc5b13758ed6b6a90d0c140f68ab1d,dataset-v3-split-v1,fb9dc09759f3228a0af124bcd413c792327497215a68a29497de7806bef7cd95,gpiosenka/car-parts-40-classes,car parts 50,train,True,deterministic_group_aware_60_10_10_original_source_split_ignored
kaggle_2ffc7f006fc48e9e,alternator,kaggle50:alternator:kaggle_2ffc7f006fc48e9e,test,9,data/locked_test/dataset_v3/images/alternator/alternator_test_009_2ffc7f006fc48e9e.jpg,2ffc7f006fc48e9e4163c4347f5a3484f2fa1b211b0716e2a7058f6d4db02fbd,dataset-v3-split-v1,fbf44fdeaf6ae6629de8218b1281f5fcc450175541b24971b4ef8870a310eba1,gpiosenka/car-parts-40-classes,car parts 50,train,True,deterministic_group_aware_60_10_10_original_source_split_ignored
kaggle_8328d1847701fa3d,alternator,kaggle50:alternator:kaggle_8328d1847701fa3d,test,10,data/locked_test/dataset_v3/images/alternator/alternator_test_010_8328d1847701fa3d.jpg,8328d1847701fa3d072d1a38bb585fd3bd149179e63e6e5ca06ee9a30ad66e51,dataset-v3-split-v1,ff6ce7d3d9f157039a6e72edc0a9c63da04471c914572e89059c1db8c736ac9c,gpiosenka/car-parts-40-classes,car parts 50,train,True,deterministic_group_aware_60_10_10_original_source_split_ignored
